3.59909+0i 17029.6+0i 4.47586+0i 3.6625+0i 2.35251+0i 2.42503+0i 
3.72318+0i 19160.8+0i 4.72244+0i 3.63608+0i 3.41684+0i 2.36068+0i 
8.44408+0i 44368.6+0i 9.03314+0i 10.36+0i 4.35979+0i 3.47152+0i 
2.56204+0i 110292+0i 2.74891+0i 2.95012+0i 1.3154+0i 1.33765+0i 
1.94146+0i 25942.5+0i 2.52058+0i 1.76845+0i 2.15377+0i 2.23193+0i 
3.76375+0i 51760.4+0i 4.43795+0i 4.37978+0i 1.94825+0i 2.05281+0i 
3.04614+0i 26753.5+0i 6.93719+0i 2.97719+0i 1.71327+0i 1.51836+0i 
4.21888+0i 92377.7+0i 4.64013+0i 2.64452+0i 1.94278+0i 1.87218+0i 
4.89341+0i 42943.9+0i 5.79985+0i 4.70526+0i 3.48883+0i 2.68945+0i 
3.07332+0i 57983+0i 4.20826+0i 3.47916+0i 2.90379+0i 2.95455+0i 
5.78641+0i 88506.3+0i 5.64304+0i 3.80804+0i 3.03591+0i 2.11728+0i 
4.04222+0i 108764+0i 4.28966+0i 2.44498+0i 2.29624+0i 2.25414+0i 
2.05691+0i 50187.5+0i 2.8578+0i 2.51065+0i 1.45213+0i 1.88986+0i 
2.53881+0i 9860.45+0i 2.68811+0i 2.42226+0i 1.90575+0i 2.05188+0i 
3.56594+0i 42322+0i 3.04433+0i 3.88782+0i 1.88386+0i 2.1546+0i 
2.62062+0i 53995.8+0i 3.69643+0i 2.62044+0i 1.96628+0i 2.19622+0i 
2.26005+0i 16315.1+0i 2.45943+0i 2.13721+0i 2.04507+0i 2.52752+0i 
2.77361+0i 151453+0i 4.23455+0i 2.77636+0i 1.90902+0i 1.55279+0i 
2.96711+0i 135149+0i 3.17589+0i 3.73709+0i 3.22505+0i 5.06748+0i 
3.31433+0i 23942.8+0i 3.92371+0i 3.3295+0i 2.1553+0i 1.66641+0i 
2.82262+0i 4484.34+0i 2.88248+0i 2.64639+0i 2.10573+0i 3.36751+0i 
2.27034+0i 10589.1+0i 2.62182+0i 2.07387+0i 2.07995+0i 2.67839+0i 
2.44854+0i 57038.1+0i 3.08665+0i 2.51432+0i 2.18218+0i 1.6511+0i 
4.90393+0i 110526+0i 5.90764+0i 4.9723+0i 3.79696+0i 1.76757+0i 
5.25125+0i 72299.9+0i 3.44429+0i 3.34315+0i 2.23006+0i 2.63943+0i 
3.56461+0i 17307.5+0i 5.1563+0i 3.25557+0i 2.97767+0i 3.11474+0i 
2.34231+0i 107218+0i 2.80365+0i 2.79795+0i 2.25276+0i 4.01878+0i 
8.33972+0i 110364+0i 11.3983+0i 4.64989+0i 3.08698+0i 1.72947+0i 
3.31971+0i 3343.75+0i 3.88425+0i 3.28214+0i 2.13028+0i 3.02067+0i 
2.11385+0i 4314.69+0i 2.68652+0i 1.85091+0i 1.21281+0i 1.50337+0i 
1.89217+0i 10984.9+0i 2.8585+0i 1.59067+0i 1.0453+0i 0.752617+0i 
2.0601+0i 61403.2+0i 3.51812+0i 2.31267+0i 2.03659+0i 2.13285+0i 
4.18464+0i 31765.3+0i 5.38293+0i 3.93282+0i 2.62116+0i 2.50956+0i 
4.48336+0i 90913.1+0i 9.30766+0i 4.25103+0i 3.74365+0i 2.01821+0i 
5.31678+0i 85032.6+0i 5.89621+0i 5.49085+0i 3.847+0i 2.01465+0i 
4.66659+0i 95682.1+0i 5.33124+0i 3.24015+0i 2.34836+0i 1.27887+0i 
2.95319+0i 21704.7+0i 5.06175+0i 2.97149+0i 1.7704+0i 1.84231+0i 
1.8314+0i 131205+0i 2.4266+0i 1.49671+0i 1.38277+0i 1.85281+0i 
2.00153+0i 64559.7+0i 2.44306+0i 2.10878+0i 1.66468+0i 1.68313+0i 
2.62052+0i 17931.6+0i 2.54799+0i 2.47701+0i 1.80053+0i 1.51586+0i 
6.24575+0i 33879.6+0i 8.46927+0i 6.87809+0i 2.3564+0i 2.15045+0i 
3.40824+0i 32560.6+0i 4.51207+0i 2.96803+0i 2.14635+0i 2.18907+0i 
3.45695+0i 119779+0i 2.25186+0i 1.51245+0i 1.88369+0i 4.78538+0i 
1.6009+0i 33675.5+0i 2.39253+0i 1.39632+0i 1.35677+0i 1.75338+0i 
1.61249+0i 105618+0i 2.30436+0i 1.68544+0i 1.63403+0i 2.24958+0i 
4.25996+0i 102975+0i 4.88368+0i 2.84617+0i 1.92584+0i 1.46747+0i 
1.85374+0i 85137.8+0i 2.10199+0i 2.08084+0i 1.70271+0i 3.12194+0i 
1.66872+0i 962.339+0i 1.61211+0i 1.27285+0i 1.34761+0i 2.13501+0i 
3.90609+0i 2667.07+0i 4.97562+0i 3.58768+0i 2.92107+0i 3.36112+0i 
2.40483+0i 8025.14+0i 3.08788+0i 1.75117+0i 1.79567+0i 2.79258+0i 
6.80846+0i 11227.9+0i 8.95261+0i 6.31379+0i 5.40334+0i 2.74898+0i 
4.97656+0i 55369.8+0i 6.05768+0i 4.67083+0i 3.07377+0i 1.53501+0i 
3.03046+0i 16480.3+0i 3.64131+0i 2.27527+0i 1.87194+0i 3.00106+0i 
1.76296+0i 2150.11+0i 2.24055+0i 1.40383+0i 1.3717+0i 1.68265+0i 
3.26393+0i 3649.84+0i 2.98978+0i 2.95596+0i 2.93433+0i 3.67212+0i 
3.69768+0i 89700+0i 3.97394+0i 2.5687+0i 2.56876+0i 5.65086+0i 
2.82472+0i 9904.45+0i 3.86916+0i 2.04997+0i 1.71451+0i 3.64474+0i 
3.83359+0i 124403+0i 2.77206+0i 2.30935+0i 1.67986+0i 3.30536+0i 
2.07971+0i 137458+0i 1.83658+0i 1.86007+0i 1.79292+0i 3.8332+0i 
5.05762+0i 109260+0i 7.49514+0i 4.53936+0i 1.20529+0i 0.860399+0i 
5.16546+0i 130150+0i 4.4569+0i 4.17953+0i 2.40015+0i 4.08393+0i 
9.76443+0i 44915.4+0i 7.38559+0i 10.8855+0i 4.98003+0i 3.04308+0i 
2.10799+0i 71135+0i 3.7448+0i 2.56391+0i 2.20534+0i 2.02886+0i 
3.54324+0i 57274.4+0i 6.24268+0i 2.38778+0i 1.76074+0i 0.843139+0i 
3.82759+0i 39294.8+0i 6.67646+0i 3.98213+0i 2.12604+0i 1.39407+0i 
1.64462+0i 131657+0i 3.22125+0i 2.28035+0i 2.07493+0i 2.20307+0i 
2.04931+0i 66946+0i 2.37349+0i 1.71968+0i 1.38559+0i 1.75429+0i 
2.49865+0i 120416+0i 3.17985+0i 2.59015+0i 2.40134+0i 2.18382+0i 
4.59005+0i 66739.3+0i 2.43279+0i 2.67205+0i 1.91868+0i 2.61448+0i 
3.22624+0i 154458+0i 4.14904+0i 2.55032+0i 4.04116+0i 6.45649+0i 
1.63238+0i 15263.5+0i 2.01034+0i 1.21316+0i 1.1618+0i 2.25951+0i 
3.56105+0i 16521+0i 4.2311+0i 3.83101+0i 2.83733+0i 1.90271+0i 
2.73089+0i 17304.1+0i 4.38599+0i 2.81295+0i 2.11041+0i 1.75328+0i 
2.41478+0i 67927.5+0i 2.82115+0i 2.00907+0i 1.37563+0i 2.42638+0i 
2.44266+0i 55555.6+0i 3.14659+0i 2.21192+0i 1.59903+0i 1.99601+0i 
2.59926+0i 68802.1+0i 4.15386+0i 2.32281+0i 1.88871+0i 1.24043+0i 
2.52749+0i 38996.4+0i 3.59132+0i 2.04191+0i 1.80299+0i 3.23899+0i 
1.71684+0i 104198+0i 2.13264+0i 1.3858+0i 1.1859+0i 2.07959+0i 
3.99093+0i 125197+0i 4.92224+0i 3.34697+0i 3.43448+0i 2.18811+0i 
1.77075+0i 2755.99+0i 1.86198+0i 1.3127+0i 1.31845+0i 2.00875+0i 
5.79389+0i 122456+0i 6.44909+0i 4.56983+0i 4.15328+0i 2.36747+0i 
1.62083+0i 145696+0i 2.70257+0i 2.2479+0i 2.08294+0i 2.99924+0i 
2.43603+0i 15218.6+0i 3.14012+0i 2.77924+0i 1.82682+0i 2.1337+0i 
2.27003+0i 32101.1+0i 2.94598+0i 2.10672+0i 1.91471+0i 1.98785+0i 
2.91533+0i 59391.6+0i 3.13229+0i 2.93695+0i 2.20002+0i 2.94377+0i 
2.07485+0i 84335.9+0i 3.0682+0i 2.0262+0i 1.90977+0i 2.02767+0i 
5.61334+0i 72758.9+0i 5.91527+0i 2.8184+0i 2.73038+0i 2.44375+0i 
2.55613+0i 2767.88+0i 3.04721+0i 2.44543+0i 1.75178+0i 2.16638+0i 
2.93446+0i 9849.54+0i 2.87903+0i 2.52206+0i 2.07543+0i 3.42716+0i 
2.25877+0i 89113.2+0i 2.71931+0i 1.63791+0i 1.06791+0i 1.50557+0i 
1.77445+0i 57126.7+0i 2.0297+0i 2.10485+0i 1.29803+0i 1.68107+0i 
2.83614+0i 42145.6+0i 4.21769+0i 2.94694+0i 1.91923+0i 1.9601+0i 
2.69826+0i 12531.3+0i 5.35351+0i 2.14361+0i 1.35401+0i 1.47322+0i 
2.98623+0i 3114.11+0i 3.22126+0i 1.61086+0i 1.84746+0i 3.45647+0i 
2.35444+0i 99165.6+0i 2.5819+0i 2.19668+0i 1.4873+0i 2.43428+0i 
3.15178+0i 54707.6+0i 4.01809+0i 3.36475+0i 2.70326+0i 2.59816+0i 
2.98806+0i 62007.9+0i 3.2657+0i 1.78404+0i 1.17558+0i 1.46032+0i 
1.55559+0i 47324.5+0i 1.77964+0i 1.67087+0i 1.68793+0i 2.00014+0i 
1.66568+0i 102647+0i 2.17493+0i 1.37467+0i 1.52845+0i 2.11627+0i 
2.38842+0i 42687.7+0i 2.50643+0i 2.46579+0i 2.07974+0i 4.96851+0i 
3.50776+0i 96709.6+0i 2.72304+0i 1.57191+0i 1.49546+0i 2.84843+0i 
2.01762+0i 72923.4+0i 1.92416+0i 1.2292+0i 1.32827+0i 1.82806+0i 
2.05076+0i 30957+0i 2.96395+0i 2.29283+0i 1.87781+0i 2.52722+0i 
2.91658+0i 112230+0i 2.75717+0i 2.37748+0i 2.10899+0i 2.32547+0i 
2.31596+0i 91377.9+0i 3.2429+0i 1.62823+0i 1.36172+0i 2.67616+0i 
3.92768+0i 65750+0i 10.7936+0i 3.99619+0i 2.2169+0i 1.63586+0i 
3.01827+0i 10461.8+0i 4.15322+0i 2.56712+0i 1.99923+0i 1.50036+0i 
4.07671+0i 90737.3+0i 5.90501+0i 5.82259+0i 2.06502+0i 1.94663+0i 
3.10445+0i 80769.5+0i 3.19065+0i 3.2676+0i 2.06286+0i 2.12349+0i 
2.67328+0i 2334.08+0i 3.21274+0i 2.46735+0i 2.30996+0i 1.67966+0i 
1.79248+0i 23335+0i 3.21359+0i 1.93475+0i 1.46984+0i 1.38938+0i 
3.04326+0i 4821.49+0i 2.55587+0i 2.02646+0i 1.85749+0i 4.02822+0i 
2.12254+0i 18654.5+0i 2.7887+0i 1.87917+0i 1.58639+0i 1.36304+0i 
2.96645+0i 5516.2+0i 3.60109+0i 3.01506+0i 2.11387+0i 1.3904+0i 
2.55+0i 83949.1+0i 3.94101+0i 2.81049+0i 2.65145+0i 2.17348+0i 
2.24708+0i 14164.3+0i 3.0784+0i 2.31194+0i 1.66061+0i 1.6987+0i 
1.8283+0i 4748+0i 3.23008+0i 1.59361+0i 1.55555+0i 1.85574+0i 
5.11483+0i 165923+0i 5.43465+0i 4.31314+0i 3.36122+0i 1.82975+0i 
3.05954+0i 58718.2+0i 6.75252+0i 3.05439+0i 1.92316+0i 1.59314+0i 
1.50114+0i 90367.6+0i 2.1728+0i 1.53469+0i 1.34864+0i 1.98596+0i 
1.74913+0i 130338+0i 1.75451+0i 1.79639+0i 1.41914+0i 2.5537+0i 
2.11801+0i 89971.9+0i 4.35147+0i 2.71507+0i 2.46822+0i 2.6226+0i 
2.38332+0i 23805.6+0i 3.00353+0i 2.02141+0i 1.47686+0i 1.8497+0i 
3.62416+0i 93280.4+0i 4.62925+0i 3.62339+0i 2.1523+0i 1.37909+0i 
3.44154+0i 113612+0i 3.94758+0i 2.3887+0i 1.87432+0i 1.1193+0i 
3.51703+0i 88146.7+0i 4.22555+0i 2.26647+0i 2.50922+0i 1.76415+0i 
2.79456+0i 45815.6+0i 1.98061+0i 1.29973+0i 1.33703+0i 1.57335+0i 
3.3352+0i 106493+0i 4.55002+0i 2.46451+0i 1.98466+0i 1.47095+0i 
5.16308+0i 7955.01+0i 5.95867+0i 4.87695+0i 2.779+0i 1.50075+0i 
4.73912+0i 59590.5+0i 6.53197+0i 3.48379+0i 2.33923+0i 2.29206+0i 
2.4347+0i 59222.8+0i 2.32024+0i 1.50572+0i 1.34967+0i 1.48225+0i 
2.24156+0i 75595.6+0i 2.00569+0i 1.56379+0i 1.17092+0i 1.64171+0i 
1.37522+0i 67823.5+0i 1.09604+0i 1.2376+0i 0.995154+0i 0.904488+0i 
2.74236+0i 26790.5+0i 4.73575+0i 2.81056+0i 1.44621+0i 1.41977+0i 
1.1037+0i 52672.1+0i 1.85986+0i 1.28341+0i 1.08642+0i 1.65104+0i 
0.89173+0i 66694.5+0i 1.67473+0i 1.31456+0i 0.935715+0i 1.50325+0i 
2.85726+0i 68004.7+0i 3.73739+0i 2.59104+0i 1.76206+0i 2.32847+0i 
3.06102+0i 88007.9+0i 3.43222+0i 2.78042+0i 2.59479+0i 2.92027+0i 
1.64832+0i 99002+0i 2.4689+0i 1.90641+0i 1.54905+0i 2.12214+0i 
5.216+0i 114497+0i 6.16567+0i 4.33482+0i 2.54638+0i 1.56595+0i 
